units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,1986.1939,1956.5499,1956549.8999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,99.8999,0.0999
1,1986.6076,1956.9636,1956963.5999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,513.5999,0.5136
1,924.5879,894.9439,894943.8999,2,1-894728-896565,387,1,1,2,True,894728.0000,896565.0000,215.8999,0.2159
1,1807.0989,1777.4549,1777454.8999,3,1-1777398-1778200,733,1,0,60,True,1777398.0000,1778200.0000,56.8999,0.0569
1,1807.7836,1778.1396,1778139.5999,3,1-1777398-1778200,733,1,0,60,True,1777398.0000,1778200.0000,741.5999,0.7416
1,1807.7973,1778.1533,1778153.2999,3,1-1777398-1778200,733,1,0,60,True,1777398.0000,1778200.0000,755.2999,0.7553
1,1350.1577,1320.5137,1320513.6999,4,1-1318428-1321434,535,1,1,3,True,1318428.0000,1321434.0000,2085.6999,2.0857
1,1350.7857,1321.1417,1321141.6999,4,1-1318428-1321434,535,1,1,3,True,1318428.0000,1321434.0000,2713.6999,2.7137
1,727.0732,697.4292,697429.1999,5,1-696504-698141,326,1,1,4,True,696504.0000,698141.0000,925.1999,0.9252
1,1188.3405,1158.6965,1158696.4999,7,1-1158046-1160117,477,1,1,6,True,1158046.0000,1160117.0000,650.4999,0.6505
1,1188.7403,1159.0963,1159096.2999,7,1-1158046-1160117,477,1,1,6,True,1158046.0000,1160117.0000,1050.2999,1.0503
1,739.8589,710.2149,710214.8999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,584.8999,0.5849
1,740.4035,710.7595,710759.4999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,1129.4999,1.1295
1,2381.4144,2351.7704,2351770.3999,9,1-2351628-2352764,964,1,1,8,True,2351628.0000,2352764.0000,142.3999,0.1424
1,2381.4341,2351.7901,2351790.0999,9,1-2351628-2352764,964,1,1,8,True,2351628.0000,2352764.0000,162.0999,0.1621
1,2381.4845,2351.8405,2351840.4999,9,1-2351628-2352764,964,1,1,8,True,2351628.0000,2352764.0000,212.4999,0.2125
1,1788.5641,1758.9201,1758920.0999,11,1-1757225-1758928,723,1,1,10,True,1757225.0000,1758928.0000,1695.0999,1.6951
1,550.3077,520.6637,520663.6999,12,1-519322-520725,264,1,1,11,True,519322.0000,520725.0000,1341.6999,1.3417
1,1024.0676,994.4236,994423.5999,14,1-991785-994691,427,1,1,13,True,991785.0000,994691.0000,2638.5999,2.6386
