units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,1987.0707,1957.4267,1957426.6999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,976.6999,0.9767
1,1987.8113,1958.1673,1958167.2999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,1717.2999,1.7173
1,925.7302,896.0862,896086.1999,2,1-894728-896565,387,1,1,2,True,894728.0000,896565.0000,1358.1999,1.3582
1,1807.5254,1777.8814,1777881.3999,3,1-1777398-1778200,733,1,0,60,True,1777398.0000,1778200.0000,483.3999,0.4834
1,1350.7063,1321.0623,1321062.2999,4,1-1318428-1321434,535,1,1,3,True,1318428.0000,1321434.0000,2634.2999,2.6343
1,2451.6301,2421.9861,2421986.0999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,1055.0999,1.0551
1,2452.7520,2423.1080,2423107.9999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,2176.9999,2.1770
1,2453.3562,2423.7122,2423712.1999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,2781.1999,2.7812
1,740.1169,710.4729,710472.8999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,842.8999,0.8429
1,740.1386,710.4946,710494.5999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,864.5999,0.8646
1,740.2433,710.5993,710599.2999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,969.2999,0.9693
1,1866.4451,1836.8011,1836801.0999,10,1-1835746-1837450,758,1,1,9,True,1835746.0000,1837450.0000,1055.0999,1.0551
1,206.2635,176.6195,176619.4999,15,1-176314-178585,105,1,1,14,True,176314.0000,178585.0000,305.4999,0.3055
1,1861.9164,1832.2724,1832272.3999,16,1-1831805-1832841,755,1,0,61,True,1831805.0000,1832841.0000,467.3999,0.4674
1,1762.6789,1733.0349,1733034.8999,18,1-1732911-1735916,709,1,1,16,True,1732911.0000,1735916.0000,123.8999,0.1239
1,1763.0952,1733.4512,1733451.1999,18,1-1732911-1735916,709,1,1,16,True,1732911.0000,1735916.0000,540.1999,0.5402
1,1764.2047,1734.5607,1734560.6999,18,1-1732911-1735916,709,1,1,16,True,1732911.0000,1735916.0000,1649.6999,1.6497
1,338.3275,308.6835,308683.4999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,476.4999,0.4765
1,338.7285,309.0845,309084.4999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,877.4999,0.8775
1,339.1713,309.5273,309527.2999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,1320.2999,1.3203
1,339.7851,310.1411,310141.0999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,1934.0999,1.9341
1,340.2047,310.5607,310560.6999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,2353.6999,2.3537
1,1577.3892,1547.7452,1547745.1999,20,1-1547512-1548681,627,1,1,18,True,1547512.0000,1548681.0000,233.1999,0.2332
1,2090.5405,2060.8965,2060896.4999,22,1-2059687-2061758,857,1,1,20,True,2059687.0000,2061758.0000,1209.4999,1.2095
1,2090.5883,2060.9443,2060944.2999,22,1-2059687-2061758,857,1,1,20,True,2059687.0000,2061758.0000,1257.2999,1.2573
1,409.0348,379.3908,379390.7999,23,1-378478-380616,210,1,1,21,True,378478.0000,380616.0000,912.7999,0.9128
1,132.0816,102.4376,102437.5999,25,1-102402-103170,58,1,1,23,True,102402.0000,103170.0000,35.5999,0.0356
1,1029.4912,999.8472,999847.1999,30,1-999701-1000536,429,1,1,27,True,999701.0000,1000536.0000,146.1999,0.1462
1,1029.4949,999.8509,999850.8999,30,1-999701-1000536,429,1,1,27,True,999701.0000,1000536.0000,149.8999,0.1499
1,1029.7695,1000.1255,1000125.4999,30,1-999701-1000536,429,1,1,27,True,999701.0000,1000536.0000,424.4999,0.4245
1,481.7411,452.0971,452097.0999,31,1-451889-453726,246,1,1,28,True,451889.0000,453726.0000,208.0999,0.2081
