units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,2453.5446,2423.9006,2423900.5999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,2969.5999,2.9696
2,1189.2977,1159.6537,1159653.6999,7,1-1158046-1160117,477,1,1,6,True,1158046.0000,1160117.0000,1607.6999,1.6077
2,1866.3983,1836.7543,1836754.2999,10,1-1835746-1837450,758,1,1,9,True,1835746.0000,1837450.0000,1008.2999,1.0083
2,338.6233,308.9793,308979.2999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,772.2999,0.7723
2,259.6333,229.9893,229989.2999,29,1-229184-231589,133,1,1,26,True,229184.0000,231589.0000,805.2999,0.8053
2,400.0387,370.3947,370394.6999,32,1-369293-370863,205,1,1,29,True,369293.0000,370863.0000,1101.6999,1.1017
2,2358.9678,2329.3238,2329323.7999,34,1-2328716-2330086,954,1,0,63,True,2328716.0000,2330086.0000,607.7999,0.6078
2,74.4482,44.8042,44804.1999,41,1-44655-47627,24,1,0,66,True,44655.0000,47627.0000,149.1999,0.1492
2,75.3610,45.7170,45716.9999,41,1-44655-47627,24,1,0,66,True,44655.0000,47627.0000,1061.9999,1.0620
2,1752.5766,1722.9326,1722932.5999,42,1-1722557-1724561,705,1,1,35,True,1722557.0000,1724561.0000,375.5999,0.3756
2,2422.8882,2393.2442,2393244.1999,58,1-2392509-2395515,981,1,0,70,True,2392509.0000,2395515.0000,735.1999,0.7352
2,2265.2804,2235.6364,2235636.3999,60,1-2234331-2235733,922,1,1,49,True,2234331.0000,2235733.0000,1305.3999,1.3054
2,2265.2846,2235.6406,2235640.5999,60,1-2234331-2235733,922,1,1,49,True,2234331.0000,2235733.0000,1309.5999,1.3096
2,1634.8221,1605.1781,1605178.0999,66,1-1604391-1607163,650,1,1,54,True,1604391.0000,1607163.0000,787.0999,0.7871
