pID,trial_num,movie_ID,target_movie,frame_on,frame_off,unq_frame_id,clip_ID,mov_clip_ID,clip_duration_sec,resp_answer,reaction_time_sec,timeout,correct,mat_trial_start_sec,ttl_movie_ID,effective_movie_ID,final_time_unix,clip_end_unix,ttl_minus_final_sec,local_shift_sec,exclude,experimentPhase,trialNumber,movieID,clipID,response,reactionTimePTB,trialStartTimePTB,frameOn,frameOff,Accurate,clipStartTime,clipEndTime,clipStartTimeMs,clipEndTimeMs,clipDurationMs,clipDurationSec,clipFrameRange,clipTimeRangeMs,clipWindowId,isAccurate,trialOrder,plotOrder,includeInPlots
582,1.0,1,1,58578,58668,1-58578-58668,818,1-818,2.9961562500000127,2,5.929256439208984,0,1,1742781565.031018,1,1,1742756617.0577865,1742756620.053943,-0.048736572265625,-0.00128125,False,recog_task,1.0,1,818,2,5.929256439208984,1742781565.031018,58578,58668,1,1956.4504724724725,1959.4563883883884,1956450,1959456,3006,3.0059159159159208,58578-58668,1956450-1959456,1-1956450-1959456,1,1,1,True
582,3.0,1,1,26789,26844,1-26789-26844,387,1-387,1.830781249666643,2,3.455557346343994,0,1,1742781580.8660266,1,1,1742756632.8856866,1742756634.716468,-0.0418267250061035,-0.008375,False,recog_task,3.0,1,387,2,3.455557346343994,1742781580.8660266,26789,26844,1,894.7275719052385,896.5645205205204,894728,896565,1837,1.8369486152819263,26789-26844,894728-896565,1-894728-896565,1,2,2,True
582,7.0,1,1,53217,53241,1-53217-53241,733,1-733,0.7877187500000673,1,9.539233446121216,0,0,1742781616.5883205,1,1,1742756668.6157656,1742756669.4034843,-0.0489256381988525,-0.00059375,False,recog_task,7.0,1,733,1,9.539233446121216,1742781616.5883205,53217,53241,0,1777.398081081081,1778.1996586586586,1777398,1778200,802,0.8015775775775182,53217-53241,1777398-1778200,1-1777398-1778200,0,3,60,True
582,8.0,1,1,39475,39565,1-39475-39565,535,1-535,2.996312499333498,2,1.5954020023345947,0,1,1742781627.465759,1,1,1742756679.4874802,1742756682.4837928,-0.043450117111206,-0.0063125,False,recog_task,8.0,1,535,2,1.5954020023345947,1742781627.465759,39475,39565,1,1318.4281197864532,1321.434035702369,1318428,1321434,3006,3.0059159159159208,39475-39565,1318428-1321434,1-1318428-1321434,1,4,3,True
582,9.0,1,1,20854,20903,1-20854-20903,326,1-326,1.6299062493333167,2,3.550414562225342,0,1,1742781632.6215668,1,1,1742756684.6343532,1742756686.264259,-0.0347630977630615,-0.01525,False,recog_task,9.0,1,326,2,3.550414562225342,1742781632.6215668,20854,20903,1,696.5041167834502,698.1406710043376,696504,698141,1637,1.636554220887433,20854-20903,696504-698141,1-696504-698141,1,5,4,True
582,10.0,1,1,72485,72575,1-72485-72575,995,1-995,2.9951562496667066,2,2.3116915225982666,0,1,1742781638.3535745,1,1,1742756690.3771324,1742756693.3722887,-0.045262336730957,-0.0045,False,recog_task,10.0,1,995,2,2.3116915225982666,1742781638.3535745,72485,72575,1,2420.931279612946,2423.937195528862,2420931,2423937,3006,3.0059159159159208,72485-72575,2420931-2423937,1-2420931-2423937,1,6,5,True
582,12.0,1,1,34673,34735,1-34673-34735,477,1-477,2.062968749666652,2,1.9180731773376465,0,1,1742781647.6178503,1,1,1742756699.6368473,1742756701.699816,-0.0407073497772216,-0.0090625,False,recog_task,12.0,1,477,2,1.9180731773376465,1742781647.6178503,34673,34735,1,1158.045806139473,1160.1165482148815,1158046,1160117,2071,2.070742075408589,34673-34735,1158046-1160117,1-1158046-1160117,1,7,6,True
582,14.0,1,1,21247,21308,1-21247-21308,330,1-330,2.030343749333383,2,2.052497148513794,0,1,1742781657.4897184,1,1,1742756709.5002182,1742756711.530562,-0.0321381092071533,-0.0175625,False,recog_task,14.0,1,330,2,2.052497148513794,1742781657.4897184,21247,21308,1,709.6299496162829,711.6672926259592,709630,711667,2037,2.037343009676306,21247-21308,709630-711667,1-709630-711667,1,8,7,True
582,15.0,1,1,70410,70444,1-70410-70444,964,1-964,1.1303124999999454,2,2.200063467025757,0,1,1742781662.1142552,1,1,1742756714.1428723,1742756715.2731848,-0.0502023696899414,0.0005625,False,recog_task,15.0,1,964,2,2.200063467025757,1742781662.1142552,70410,70444,1,2351.628218218218,2352.76378645312,2351628,2352764,1136,1.1355682349017115,70410-70444,2351628-2352764,1-2351628-2352764,1,9,8,True
582,18.0,1,1,54964,55015,1-54964-55015,758,1-758,1.6969374993332167,2,2.2775917053222656,0,1,1742781681.226341,1,1,1742756733.236959,1742756734.9338963,-0.0322389602661132,-0.0174375,False,recog_task,18.0,1,758,2,2.2775917053222656,1742781681.226341,54964,55015,1,1835.746248915582,1837.4496012679347,1835746,1837450,1704,1.7033523523525673,54964-55015,1835746-1837450,1-1835746-1837450,1,10,9,True
